Filename,MethodName,LineNumber,Length,Parameters,IfDepth,CyclomaticComplexity,Toxicity
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.Commit_ExceptionDuranteCommit_DeveReportarErro,343,4,0,0,1,0,092
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.Rollback_TransacaoAtiva_DeveFinalizar,354,4,0,0,1,0,092
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.Rollback_ExceptionDuranteRollback_DeveReportarErro,402,4,0,0,1,0,092
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Driver\Rick.SQL.Tests.Driver.ProviderReuse.pas,TRickSQLDriverProviderReuseTests.CommandValidator_ProviderOverload_ReturnsResolvedProvider,142,4,0,0,1,0,092
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Driver\Rick.SQL.Tests.Driver.ProviderReuse.pas,TRickSQLDriverProviderReuseTests.ClientLibraryResolver_Compatibility_SQLiteDoesNotRequireLibrary,157,4,0,0,1,0,092
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.Clear_DeveRemoverParametrosConsolidados,197,4,0,0,1,0,092
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.Clear_NaoDeveResetarParametroEmConstrucao,209,4,0,0,1,0,092
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Integration.pas,TRickSQLErrorIntegrationTests.ParameterBinder_InvalidSetup_UsesSharedNormalization,225,3,0,0,1,0,079
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.Start_TransacaoInativa_DeveIniciar,249,3,0,0,1,0,079
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.Start_ExceptionDuranteStart_DeveReportarErro,285,3,0,0,1,0,079
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Driver\Rick.SQL.Tests.Driver.ProviderReuse.pas,TRickSQLDriverProviderReuseTests.ConnectionValidator_ProviderOverload_ReturnsResolvedProvider,129,3,0,0,1,0,079
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Driver\Rick.SQL.Tests.Driver.ProviderReuse.pas,TRickSQLDriverProviderReuseTests.IndependentOperations_ResolveDistinctProviders,229,3,0,0,1,0,079
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Integration.pas,TRickSQLErrorIntegrationTests.Transaction_MissingConnection_UsesSharedNormalization,240,2,0,0,1,0,067
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Validation\Rick.SQL.Tests.Parameter.Validator.pas,TRickSQLParameterValidatorTests.MultiplosParametros_DevemSerReconhecidos,167,2,0,0,1,0,067
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Validation\Rick.SQL.Tests.Parameter.Validator.pas,TRickSQLParameterValidatorTests.Oracle_JSONObject_ParametrosNaChaveEValor_DevemSerReconhecidos,479,2,0,0,1,0,067
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.TearDown,105,2,0,0,1,0,067
