Filename,MethodName,LineNumber,Length,Parameters,IfDepth,CyclomaticComplexity,Toxicity
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Error.Parser.pas,TRickSQLCoreErrorParser.FromMessage,88,4,3,1,2,0,308
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,FindParameterIndex,1082,4,2,1,3,0,308
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.ExtraParameterValue,201,4,2,1,3,0,308
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ResolveDirectories,706,7,1,1,3,0,304
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ResolveEnvironmentOrDefault,738,7,1,1,3,0,304
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.IsSQLServerLabelColon,398,7,1,1,3,0,304
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.IsArraySliceColon,493,7,1,1,3,0,304
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.ProcessColon,893,7,1,1,3,0,304
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Access.pas,TRickSQLServiceFireDACDriverAccess.ApplyConnectionOptions,55,7,2,1,2,0,304
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Executor.pas,TRickSQLCoreCommandExecutor.StartConfiguredTransaction,197,3,3,1,2,0,296
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Executor.pas,TRickSQLCoreCommandExecutor.CommitConfiguredTransaction,208,3,3,1,2,0,296
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Executor.pas,TRickSQLCoreCommandExecutor.RollbackConfigured,256,3,3,1,2,0,296
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Transaction.pas,TRickSQLServiceFireDACTransaction.ValidateAssigned,188,3,3,1,2,0,296
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.DequotePath,331,6,1,1,3,0,292
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.NormalizeExplicitPath,356,6,1,1,3,0,292
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.LibraryNames,392,6,1,1,3,0,292
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.LocateExplicitPath,693,6,1,1,3,0,292
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.IsLabelColon,434,6,1,1,3,0,292
